id,mirnas_pgm_c52,mirnas_pgm_HB4,mirnas_solid_c52,mirnas_solid_HB4
hsa-let-7a-2-3p,33.8868097244093,6.22035461867352,17.675601113982,7.83516525659657
hsa-let-7a-3p,24.8503271312335,8.70849646614293,78.5582271732533,23.5054957697897
hsa-let-7b-3p,0,3.73221277120411,5.891867037994,1.04468870087954
hsa-let-7c-5p/hsa-let-7a-5p/hsa-let-7e-5p/hsa-let-7f-5p/hsa-let-7b-5p,3953.46113451442,2422.20608851147,4700.40059253299,3906.61339693905
hsa-let-7d-3p,9.03648259317581,2.48814184746941,10.4744302897671,5.74578785483749
hsa-let-7d-5p,10513.9474971601,6689.3693569215,3365.56538248079,2033.48655626203
hsa-let-7f-1-3p,11.2956032414698,6.22035461867352,17.675601113982,15.6703305131931
hsa-let-7f-2-3p,0,3.73221277120411,10.4744302897671,2.61172175219886
hsa-let-7g-3p,196.543496401574,200.295418721287,88.37800556991,92.9772943782793
hsa-let-7g-5p,5616.17393165877,4497.31638930096,4860.79030634505,7408.40992228728
hsa-let-7i-3p,33.8868097244093,19.9051347797553,51.7174995557251,18.8043966158318
hsa-let-7i-5p,3092.73616751442,2137.31384697622,583.294836761406,250.202943860651
hsa-miR-100-3p,169.434048622046,14.9288510848164,236.983985305981,17.2373635645125
hsa-miR-101-3p,3061.10847843831,1659.5906122621,5239.17910056289,2713.57890053461
hsa-miR-101-5p,27.1094477795274,3.73221277120411,18.3302530070924,7.83516525659657
hsa-miR-103a-2-5p,196.543496401574,113.210454059858,87.7233536767995,70.5164873093692
hsa-miR-103a-3p,28385.8509458135,24001.8603316136,367767.06725212,129542.443597764
hsa-miR-106b-3p,1059.52758404986,998.988951758967,798.675309594742,320.71943117002
hsa-miR-106b-5p,1753.07762307611,2048.98481139106,2563.6168134205,2085.72099130601
hsa-miR-107,1863.77453484251,2099.99171926418,10989.641329645,7167.08683238411
hsa-miR-10b-3p,0,0,0,6.79047655571703
hsa-miR-10b-5p/hsa-miR-10a-5p,323.054252706035,430.448539612208,305.722434082578,453.917240532161
hsa-miR-1180-3p,2.25912064829395,17.4169929322859,6.54651893110444,5.22344350439772
hsa-miR-1180-5p,6.77736194488186,21.14920570349,14.4023416484298,75.2175864633271
hsa-miR-1185-2-3p/hsa-miR-1185-1-3p,0,0,4.58256325177311,0
hsa-miR-1185-5p,11.2956032414698,0,5.23721514488355,0
hsa-miR-1248,2.25912064829395,0,10.4744302897671,4.17875480351817
hsa-miR-1249-3p,4.51824129658791,0,111.945473721886,80.4410299677248
hsa-miR-1255a,4.51824129658791,11.1966383136123,4.58256325177311,1.04468870087954
hsa-miR-1256,2.25912064829395,23.6373475509594,4.58256325177311,15.1479861627534
hsa-miR-125a-3p,92.6239465800521,43.5424823307146,98.8524358596771,34.4747271290249
hsa-miR-125a-5p,1940.58463688451,1425.70527859997,2453.63529537795,1956.17959239694
hsa-miR-125b-1-3p,22.5912064829395,13.6847801610817,15.7116454346507,0
hsa-miR-125b-2-3p,4.51824129658791,0,4.58256325177311,1.04468870087954
hsa-miR-125b-5p,1027.89989497375,268.719319526696,1852.01020560945,760.011029889868
hsa-miR-1260b,42.9232923175851,223.932766272247,15.7116454346507,92.4549500278396
hsa-miR-126-3p,13852.9278153385,8653.7573454986,18674.5999028685,6759.13589469064
hsa-miR-126-5p,485.7109393832,251.30232659441,973.467365055231,627.335564878166
hsa-miR-1270,15.8138445380577,0,8.51047461043578,0
hsa-miR-1271-3p,22.5912064829395,22.3932766272247,16.3662973277611,19.8490853167113
hsa-miR-1271-5p,47.441533614173,62.2035461867352,70.0477525628175,180.208800901721
hsa-miR-1273c,6.77736194488186,7.46442554240822,28.8046832968596,25.5948731715488
hsa-miR-1273d,2.25912064829395,8.70849646614293,0,2.61172175219886
hsa-miR-1277-3p,2.25912064829395,1.2440709237347,11.783734075988,2.08937740175909
hsa-miR-1278,4.51824129658791,6.22035461867352,1.30930378622089,5.22344350439772
hsa-miR-128-1-5p,2.25912064829395,3.73221277120411,6.54651893110444,10.9692313592352
hsa-miR-128-3p,280.13096038845,498.872440417616,266.443320495951,455.484273583481
hsa-miR-1285-3p,15.8138445380577,69.6679717291434,54.3361071281669,149.912828576214
hsa-miR-1285-5p,6.77736194488186,4.97628369493882,3.27325946555222,4.70109915395794
hsa-miR-1286,0,12.440709237347,3.92791135866267,2.61172175219886
hsa-miR-1287-3p,0,1.2440709237347,1.30930378622089,6.79047655571703
hsa-miR-1287-5p,9.03648259317581,4.97628369493882,5.23721514488355,5.74578785483749
hsa-miR-129-2-3p/hsa-miR-129-1-3p,0,23.6373475509594,2.61860757244178,16.1926748636329
hsa-miR-129-5p,0,4.97628369493882,0,0.522344350439772
hsa-miR-1296-3p,6.77736194488186,3.73221277120411,1.96395567933133,5.74578785483749
hsa-miR-1296-5p,352.422821133857,161.729220085512,42.5523730521789,25.072528821109
hsa-miR-1301-3p,13.5547238897637,36.0780567883064,15.7116454346507,16.1926748636329
hsa-miR-1304-3p,2.25912064829395,4.97628369493882,1.96395567933133,3.13406610263863
hsa-miR-1305,2.25912064829395,4.97628369493882,2.61860757244178,0
hsa-miR-1306-5p,15.8138445380577,34.8339858645717,25.5314238313073,37.0864488812238
hsa-miR-1307-3p,158.138445380577,206.515773339961,62.8465817386027,72.6058647111282
hsa-miR-1307-5p,2934.59772213384,2631.2100036989,525.685470167687,536.969992252085
hsa-miR-130a-3p,22963.961389908,34515.5037080956,53680.8005831633,67864.022697836
hsa-miR-130b-3p,2909.74739500261,2224.39881163765,8179.875404415,4554.32039148437
hsa-miR-130b-5p,171.69316927034,90.8171774326334,222.581643657551,81.4857186686044
hsa-miR-132-3p,22.5912064829395,26.1254893984288,54.9907590212773,87.2315065234419
hsa-miR-132-5p,88.1057052834642,106.990099441185,66.1198412041549,91.41026132696
hsa-miR-1343-3p,2.25912064829395,7.46442554240822,3.92791135866267,4.17875480351817
hsa-miR-134-5p,2.25912064829395,0,8.51047461043578,0.522344350439772
hsa-miR-135a-5p/hsa-miR-135b-5p,442.787647065615,1042.53143408968,381.662053683389,719.268170555565
hsa-miR-135b-3p,0,7.46442554240822,0.654651893110444,16.1926748636329
hsa-miR-137,124.251635656167,29.8577021696329,82.486138531916,24.5501844706693
hsa-miR-138-1-3p,15.8138445380577,41.0543404832452,17.0209492208716,25.072528821109
